id,transmit_time,created_date,imei,momsn,message_version,software_version,bridge_voltage,bridge_temperature,bridge_humidity,bridge_pressure,inference_class,inference_accuracy,image_datetime
4315,21/06/2016 10:04,2021-06-16 10:04:45.708289+00:00,300434065263510,11,6,4,3453,27,23,985,Other,0.9647,16/06/2021 10:29
4315,21/06/2016 10:04,2021-06-16 10:04:45.708289+00:00,300434065263510,11,6,4,3453,27,23,985,Other,0.9569,16/06/2021 11:00
4316,21/06/2016 10:13,2021-06-16 10:14:02.680635+00:00,300434065263510,12,6,4,3427,28,23,986,Other,0.9451,16/06/2021 11:09
4319,21/06/2016 10:52,2021-06-16 10:52:23.993519+00:00,300434065263510,13,6,4,3450,28,23,985,Other,0.9569,16/06/2021 11:45
4320,21/06/2016 11:37,2021-06-16 11:37:29.423954+00:00,300434065263510,14,6,4,3448,29,22,985,Other,0.949,16/06/2021 12:10
4320,21/06/2016 11:37,2021-06-16 11:37:29.423954+00:00,300434065263510,14,6,4,3448,29,22,985,Other,0.8314,16/06/2021 12:30
4320,21/06/2016 11:37,2021-06-16 11:37:29.423954+00:00,300434065263510,14,6,4,3448,29,22,985,Other,0.8039,16/06/2021 12:31
4320,21/06/2016 11:37,2021-06-16 11:37:29.423954+00:00,300434065263510,14,6,4,3448,29,22,985,Other,0.7686,16/06/2021 12:31
4321,21/06/2016 12:00,2021-06-16 12:00:13.976753+00:00,300434065263510,15,6,4,3444,29,23,983,Other,0.6275,16/06/2021 12:33
4321,21/06/2016 12:00,2021-06-16 12:00:13.976753+00:00,300434065263510,15,6,4,3444,29,23,983,Other,0.9647,16/06/2021 12:33
4321,21/06/2016 12:00,2021-06-16 12:00:13.976753+00:00,300434065263510,15,6,4,3444,29,23,983,Other,0.8784,16/06/2021 12:34
4321,21/06/2016 12:00,2021-06-16 12:00:13.976753+00:00,300434065263510,15,6,4,3444,29,23,983,Other,0.8941,16/06/2021 12:36
4321,21/06/2016 12:00,2021-06-16 12:00:13.976753+00:00,300434065263510,15,6,4,3444,29,23,983,Other,0.5922,16/06/2021 12:56
4321,21/06/2016 12:00,2021-06-16 12:00:13.976753+00:00,300434065263510,15,6,4,3444,29,23,983,Other,0.6431,16/06/2021 12:57
4329,21/06/2017 06:23,2021-06-17 06:23:40.658963+00:00,300434065263510,16,6,4,3408,23,24,984,Other,0.5647,16/06/2021 14:11
4330,21/06/2017 06:23,2021-06-17 06:24:42.099593+00:00,300434065263510,16,6,4,3408,23,24,984,Other,0.5647,16/06/2021 14:11
4329,21/06/2017 06:23,2021-06-17 06:23:40.658963+00:00,300434065263510,16,6,4,3408,23,24,984,Human,0.8392,16/06/2021 14:27
4330,21/06/2017 06:23,2021-06-17 06:24:42.099593+00:00,300434065263510,16,6,4,3408,23,24,984,Human,0.8392,16/06/2021 14:27
4329,21/06/2017 06:23,2021-06-17 06:23:40.658963+00:00,300434065263510,16,6,4,3408,23,24,984,Elephant_African,0.9176,17/06/2021 07:20
4330,21/06/2017 06:23,2021-06-17 06:24:42.099593+00:00,300434065263510,16,6,4,3408,23,24,984,Elephant_African,0.9176,17/06/2021 07:20
4329,21/06/2017 06:23,2021-06-17 06:23:40.658963+00:00,300434065263510,16,6,4,3408,23,24,984,Elephant_African,0.5098,17/06/2021 07:21
4330,21/06/2017 06:23,2021-06-17 06:24:42.099593+00:00,300434065263510,16,6,4,3408,23,24,984,Elephant_African,0.5098,17/06/2021 07:21
4331,21/06/2017 06:38,2021-06-17 06:39:02.691885+00:00,300434065263510,17,6,4,3441,23,24,985,Other,0.7333,17/06/2021 07:33
4336,21/06/2017 20:14,2021-06-17 20:14:46.999871+00:00,300434065263510,18,6,4,3433,24,25,982,Other,0.8392,17/06/2021 21:12
4337,21/06/2018 07:27,2021-06-18 07:27:15.618445+00:00,300434065263510,19,6,4,3405,23,25,985,Other,0.9137,18/06/2021 06:12
4337,21/06/2018 07:27,2021-06-18 07:27:15.618445+00:00,300434065263510,19,6,4,3405,23,25,985,Other,0.949,18/06/2021 08:22
4338,21/06/2018 08:16,2021-06-18 08:16:35.430186+00:00,300434065263510,20,6,4,3433,23,24,986,Other,0.7843,18/06/2021 09:10
4341,21/06/2018 12:04,2021-06-18 12:05:15.274078+00:00,300434065263510,21,6,4,3427,26,24,984,Other,0.7608,18/06/2021 13:02
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Other,0.9451,18/06/2021 14:24
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Elephant_African,0.9098,19/06/2021 00:28
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Elephant_African,0.902,19/06/2021 00:28
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Elephant_African,0.898,19/06/2021 00:28
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Elephant_African,0.9176,19/06/2021 00:28
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Elephant_African,0.8941,19/06/2021 00:29
4342,21/06/2018 23:34,2021-06-18 23:35:04.367767+00:00,300434065263510,22,6,4,3401,23,25,982,Other,0.8118,19/06/2021 00:29
4343,21/06/2019 00:41,2021-06-19 00:41:43.569069+00:00,300434065263510,23,6,4,3399,23,25,982,Elephant_African,0.8157,19/06/2021 01:35
4343,21/06/2019 00:41,2021-06-19 00:41:43.569069+00:00,300434065263510,23,6,4,3399,23,25,982,Elephant_African,0.9176,19/06/2021 01:35
4344,21/06/2020 05:11,2021-06-20 05:11:24.924193+00:00,300434065263510,24,6,4,3417,22,26,982,Elephant_African,0.8706,20/06/2021 06:05
4344,21/06/2020 05:11,2021-06-20 05:11:24.924193+00:00,300434065263510,24,6,4,3417,22,26,982,Elephant_African,0.9098,20/06/2021 06:05
4344,21/06/2020 05:11,2021-06-20 05:11:24.924193+00:00,300434065263510,24,6,4,3417,22,26,982,Elephant_African,0.9216,20/06/2021 06:05
4344,21/06/2020 05:11,2021-06-20 05:11:24.924193+00:00,300434065263510,24,6,4,3417,22,26,982,Elephant_African,0.898,20/06/2021 06:05
4344,21/06/2020 05:11,2021-06-20 05:11:24.924193+00:00,300434065263510,24,6,4,3417,22,26,982,Other,0.8706,20/06/2021 06:08
4345,21/06/2020 08:13,2021-06-20 08:13:27.199200+00:00,300434065263510,25,6,4,3389,24,25,985,Other,0.9137,20/06/2021 07:52
4345,21/06/2020 08:13,2021-06-20 08:13:27.199200+00:00,300434065263510,25,6,4,3389,24,25,985,Other,0.702,20/06/2021 09:07
4346,21/06/2020 14:28,2021-06-20 14:28:25.250396+00:00,300434065263510,26,6,4,3380,27,25,981,Elephant_African,0.5804,20/06/2021 15:24
4346,21/06/2020 14:28,2021-06-20 14:28:25.250396+00:00,300434065263510,26,6,4,3380,27,25,981,Elephant_African,0.8902,20/06/2021 15:25
4346,21/06/2020 14:28,2021-06-20 14:28:25.250396+00:00,300434065263510,26,6,4,3380,27,25,981,Elephant_African,0.5373,20/06/2021 15:25
4346,21/06/2020 14:28,2021-06-20 14:28:25.250396+00:00,300434065263510,26,6,4,3380,27,25,981,Elephant_African,0.6039,20/06/2021 15:25
4346,21/06/2020 14:28,2021-06-20 14:28:25.250396+00:00,300434065263510,26,6,4,3380,27,25,981,Elephant_African,0.5294,20/06/2021 15:25
4348,21/06/2021 06:07,2021-06-21 06:07:35.327487+00:00,300434065263510,27,6,4,3379,23,26,982,Elephant_African,0.8863,21/06/2021 05:34
4348,21/06/2021 06:07,2021-06-21 06:07:35.327487+00:00,300434065263510,27,6,4,3379,23,26,982,Elephant_African,0.902,21/06/2021 05:35
4348,21/06/2021 06:07,2021-06-21 06:07:35.327487+00:00,300434065263510,27,6,4,3379,23,26,982,Elephant_African,0.9098,21/06/2021 05:35
4348,21/06/2021 06:07,2021-06-21 06:07:35.327487+00:00,300434065263510,27,6,4,3379,23,26,982,Other,0.6078,21/06/2021 07:04
4348,21/06/2021 06:07,2021-06-21 06:07:35.327487+00:00,300434065263510,27,6,4,3379,23,26,982,Other,0.7333,21/06/2021 07:05
4349,21/06/2021 07:14,2021-06-21 07:14:27.564248+00:00,300434065263510,28,6,4,3389,23,26,983,Other,0.6275,21/06/2021 07:38
4349,21/06/2021 07:14,2021-06-21 07:14:27.564248+00:00,300434065263510,28,6,4,3389,23,26,983,Other,0.5529,21/06/2021 08:12
4350,21/06/2021 09:07,2021-06-21 09:08:09.871467+00:00,300434065263510,29,6,4,3394,23,26,984,Other,0.9373,21/06/2021 10:03
4351,21/06/2021 11:55,2021-06-21 11:55:46.615936+00:00,300434065263510,30,6,4,3387,24,26,983,Other,0.949,21/06/2021 12:50
4353,21/06/2022 05:14,2021-06-22 05:14:17.331272+00:00,300434065263510,31,6,4,3355,22,26,982,Elephant_African,0.8745,22/06/2021 01:36
4353,21/06/2022 05:14,2021-06-22 05:14:17.331272+00:00,300434065263510,31,6,4,3355,22,26,982,Elephant_African,0.9216,22/06/2021 01:37
